的	obduk
是	oridm
是	orihg
不	ohgdm
我	opppx
人	oppdm
人	oppna
在	ohghg
这	ozzwf
他	odjye
他	orfye
有	ohghg
来	ohgdm
来	ohgna
道	ozzub
你	odjer
你	orfer
个	oppuu
大	ohgdm
大	ohgna
到	ovidk
到	ovili
上	ouuhg
说	oyjdv
们	odjmf
们	orfmf
着	ojlmu
着	oyhmu
出	occkd
出	occsj
中	ouuuu
地	otuye
那	oveuu
就	ojkyb
也	oveve
下	ohgdm
要	oxinv
么	oppsi
子	ovehg
时	oricp
为	odmdm
然	oppho
然	oppsi
可	odkkb
她	onvye
过	ozzcp
之	odmdm
之	odmna
以	ovedm
看	okjmu
看	ouzmu
会	orfyp
得	orfri
得	ouldm
天	ohgda
去	otusi
自	oppmu
好	onvzi
心	odmdm
和	ohekb
没	osjuu
没	ouvuu
能	oveve
对	oyzcp
后	oppkb
还	ozzbu
里	ouuhg
小	ouudm
手	oppuu
而	ohguu
起	ozzji
只	okzba
身	opppx
想	oxlxn
都	oveer
头	odmdm
头	odmna
如	onvkb
无	ohgyb
面	ohghv
面	ouihv
多	oxixi
已	oveve
发	oveyb
事	ohguu
生	opphg
生	oppqy
知	ouikb
家	obcdm
家	ogdui
前	odmuu
声	ouipx
开	ohggs
方	odmwj
经	ojnjy
经	osijy
现	owhjm
笑	ovuao
什	odjui
什	orfui
力	ovepx
点	ovjho
点	ovjsi
两	ohgdm
法	osjqu
法	ouvqu
国	okzyu
国	owwyu
样	omuyh
所	ohujn
成	ohgpx
意	oycxn
见	ouuve
但	odjdj
但	orfdj
老	olcbi
老	oxnbi
用	oppuu
又	ovedm
又	ovena
情	ouuqy
情	oxcqy
于	ohguu
当	oxnxp
当	oxnxt
动	oyyli
己	oveve
些	ocier
行	orfiu
行	ouluu
此	ovibi
眼	omugf
气	oppve
把	otiba
把	ouzba
回	okzkb
回	owwkb
话	oyjue
将	ojlcp
将	ovlcp
真	ouiju
长	oppdm
长	oppna
三	ohger
间	omfri
进	ozzjy
年	oppuu
神	ouiuf
明	oriyt
十	ohguu
女	ovehg
向	oppjs
定	obcdm
定	ogdhg
正	ohgvi
实	obctb
实	ogdtb
本	ohghg
很	orfgf
很	oulgf
同	oklhg
同	otshg
从	orfrf
高	odmhg
问	omfkb
才	ohgpx
全	orfwh
被	oyipi
主	odmwh
再	ohgrj
走	ohgdm
走	ohgna
却	oqudj
却	oquer
儿	oppve
分	obadk
口	ouuhg
其	ohgdm
作	odjva
作	orfva
种	ohevs
几	oppve
外	oxibu
打	otidy
打	ouzdy
最	oriqu
门	odmve
与	ohghg
给	ojnhe
给	osihe
光	oxnwu
光	oyswu
白	oppri
等	ovusi
听	okzjn
因	okzda
因	owwda
重	opphg
少	oxnpx
风	oppdm
相	omumu
住	odjvu
住	orfvu
次	ollqm
次	ouvqm
何	odjke
何	orfke
让	oyjuh
二	ohghg
公	obasi
日	ouuhg
怎	ovaxn
名	oxikb
死	ohgbi
便	odjgg
便	orfgg
位	odjli
位	orfli
部	olier
部	opzer
果	ouudm
果	ouuna
应	oglhg
体	odjbf
